year,race_name,team,driver,dnf,dnf_reason
2024,Spanish Grand Prix,ferrari,SAI,False,Finished
2024,Spanish Grand Prix,haas,HUL,False,Finished
2024,Spanish Grand Prix,haas,MAG,True,Lapped
2024,Spanish Grand Prix,mclaren,NOR,False,Finished
2024,Spanish Grand Prix,mclaren,PIA,False,Finished
2024,Spanish Grand Prix,mercedes,HAM,False,Finished
2024,Spanish Grand Prix,mercedes,RUS,False,Finished
2024,Spanish Grand Prix,rb,RIC,True,Lapped
2024,Spanish Grand Prix,rb,TSU,True,Lapped
2024,Spanish Grand Prix,red_bull,PER,False,Finished
2024,Spanish Grand Prix,red_bull,VER,False,Finished
2024,Spanish Grand Prix,sauber,BOT,True,Lapped
2024,Spanish Grand Prix,sauber,ZHO,True,Lapped
2024,Spanish Grand Prix,williams,ALB,True,Lapped
2024,Spanish Grand Prix,williams,SAR,True,Lapped
2024,São Paulo Grand Prix,alpine,GAS,False,Finished
2024,São Paulo Grand Prix,alpine,OCO,False,Finished
2024,São Paulo Grand Prix,aston_martin,ALO,False,Finished
2024,São Paulo Grand Prix,aston_martin,STR,True,Did not start
2024,São Paulo Grand Prix,ferrari,LEC,False,Finished
2024,São Paulo Grand Prix,ferrari,SAI,True,Retired
2024,São Paulo Grand Prix,haas,BEA,False,Finished
2024,São Paulo Grand Prix,haas,HUL,True,Disqualified
2024,São Paulo Grand Prix,mclaren,NOR,False,Finished
2024,São Paulo Grand Prix,mclaren,PIA,False,Finished
2024,São Paulo Grand Prix,mercedes,HAM,False,Finished
2024,São Paulo Grand Prix,mercedes,RUS,False,Finished
2024,São Paulo Grand Prix,rb,LAW,False,Finished
2024,São Paulo Grand Prix,rb,TSU,False,Finished
2024,São Paulo Grand Prix,red_bull,PER,False,Finished
2024,São Paulo Grand Prix,red_bull,VER,False,Finished
2024,São Paulo Grand Prix,sauber,BOT,False,Finished
2024,São Paulo Grand Prix,sauber,ZHO,False,Finished
2024,São Paulo Grand Prix,williams,ALB,True,Did not start
2024,São Paulo Grand Prix,williams,COL,True,Retired
2024,United States Grand Prix,alpine,GAS,False,Finished
2024,United States Grand Prix,alpine,OCO,True,Lapped
2024,United States Grand Prix,aston_martin,ALO,True,Lapped
2024,United States Grand Prix,aston_martin,STR,True,Lapped
2024,United States Grand Prix,ferrari,LEC,False,Finished
2024,United States Grand Prix,ferrari,SAI,False,Finished
2024,United States Grand Prix,haas,HUL,False,Finished
2024,United States Grand Prix,haas,MAG,False,Finished
2024,United States Grand Prix,mclaren,NOR,False,Finished
2024,United States Grand Prix,mclaren,PIA,False,Finished
2024,United States Grand Prix,mercedes,HAM,True,Retired
2024,United States Grand Prix,mercedes,RUS,False,Finished
2024,United States Grand Prix,rb,LAW,False,Finished
2024,United States Grand Prix,rb,TSU,True,Lapped
2024,United States Grand Prix,red_bull,PER,False,Finished
2024,United States Grand Prix,red_bull,VER,False,Finished
2024,United States Grand Prix,sauber,BOT,True,Lapped
2024,United States Grand Prix,sauber,ZHO,True,Lapped
