season,driver,race_name,round,circuit_type,team,fp1_pos,fp2_pos,fp3_pos,sprint_qualifying_pos,sprint_race_pos,qualifying_pos,race_pos,race_dnf_status,race_classified_position,weighted_performance_score
2024,MAG,Spa-Francorchamps,14,Permanent,Haas,18.0,8.0,18.0,,,,,,,10.600000000000001
2024,NOR,Spa-Francorchamps,14,Permanent,McLaren,8.0,1.0,4.0,,,,,,,2.6
2024,OCO,Spa-Francorchamps,14,Permanent,Alpine,,7.0,5.0,,,,,,,3.4000000000000004
2024,PER,Spa-Francorchamps,14,Permanent,Red Bull,7.0,9.0,10.0,,,,,,,6.5
2024,PIA,Spa-Francorchamps,14,Permanent,McLaren,2.0,2.0,2.0,,,,,,,1.4000000000000001
2024,RIC,Spa-Francorchamps,14,Permanent,RB,13.0,14.0,14.0,,,,,,,9.700000000000001
2024,RUS,Spa-Francorchamps,14,Permanent,Mercedes,4.0,6.0,,,,,,Disqualified,20,1.6
2024,SAI,Spa-Francorchamps,14,Permanent,Ferrari,9.0,5.0,,,,,,,,1.9
2024,SAR,Spa-Francorchamps,14,Permanent,Williams,15.0,18.0,17.0,,,,,,,11.9
2024,STR,Spa-Francorchamps,14,Permanent,Aston Martin,10.0,11.0,7.0,,,,,,,6.0
2024,TSU,Spa-Francorchamps,14,Permanent,RB,16.0,20.0,15.0,,,,,,,11.6
2024,VER,Spa-Francorchamps,14,Permanent,Red Bull,1.0,3.0,1.0,,,,,,,1.1
2024,ZHO,Spa-Francorchamps,14,Permanent,Sauber,19.0,19.0,16.0,,,,,Retired,R,12.100000000000001
2024,ALB,Zandvoort,15,Permanent,Williams,6.0,10.0,14.0,,,,,Lapped,14,8.200000000000001
2024,ALO,Zandvoort,15,Permanent,Aston Martin,15.0,6.0,5.0,,,,,Lapped,10,4.7
2024,ALO,Interlagos,15,Permanent,Aston Martin,15.0,6.0,5.0,,,,,Lapped,10,4.7
2024,BEA,Interlagos,15,Permanent,Haas,,,,,,,,,,
2024,BOT,Zandvoort,15,Permanent,Sauber,,18.0,3.0,,,,,Lapped,19,4.800000000000001
2024,BOT,Interlagos,15,Permanent,Sauber,,18.0,3.0,,,,,Lapped,19,4.800000000000001
2024,COL,Interlagos,15,Permanent,Williams,,,,,,,,,,
