season,race_name,round,circuit_type,team,avg_race_pace,clean_air_avg_race_pace,top_speed,cornering_speed,top_speed_rank,corner_speed_rank,drag_index,avg_stint_length,stints_soft,stints_medium,stints_hard,deg_soft_slope,deg_medium_slope,deg_hard_slope,dropoff_soft,dropoff_medium,dropoff_hard,avg_throttle_pct,avg_speed,traffic_lap_pct,avg_interval_to_car_ahead,clean_air_pace_advantage
2025,Melbourne,1,Street,Alpine,107.47632142857142,92.90332249322493,320.0,23.833333333333332,8.0,8.0,0.0,9.333333333333334,0,0,1,,,-2.880010989010987,,,-28.980000000000004,55.55638813990777,178.7819237690051,0.7857142857142857,2.144654137529138,-14.57299893534649
2025,Catalunya,1,Permanent,Aston Martin,84.77196923076923,80.80486764705881,328.0,17.5,4.0,8.0,-4.0,16.25,3,1,0,-1.4866831501831521,-0.0896324786324785,,-19.043999999999997,-14.820000000000007,,57.66810310220869,190.29115766368523,0.8923076923076924,1.4758283730158732,-3.9671015837104164
2025,Melbourne,1,Street,Aston Martin,105.87950574712646,98.23677798742138,328.0,30.967000064,5.0,2.0,3.0,8.7,0,0,1,,,-2.1198909090909077,,,-20.254999999999995,54.328638737522205,181.21677246871667,0.7011494252873564,2.3987887199007885,-7.642727759705082
2025,Catalunya,1,Permanent,Ferrari,84.6853,85.29404926739927,333.0,27.375,1.0,6.0,-5.0,16.25,5,3,0,-2.317447549019606,-0.030453975347893767,,-16.945399999999996,-8.237333333333334,,58.1340865365013,181.23578235298447,0.2692307692307692,6.224582220300834,0.6087492673992756
2025,Melbourne,1,Street,Ferrari,107.44235714285716,104.86688728897718,333.0,29.416666666666668,1.0,3.0,-2.0,9.333333333333334,0,0,2,,,-1.8872027472527497,,,14.697499999999998,57.08847531233339,178.62433495363462,0.75,1.6008891136162688,-2.57546985387998
2025,Catalunya,1,Permanent,Haas,84.86113076923077,90.05915119218419,313.0,14.428571428571429,9.0,9.0,0.0,18.571428571428573,3,4,0,-1.4342360052228484,-0.021167165776634647,,-16.607666666666663,-10.480000000000004,,54.93005164263452,179.86074282687534,0.7538461538461538,2.1859611364505116,5.1980204229534195
2025,Melbourne,1,Street,Haas,107.41908928571426,99.23479969920702,313.0,17.272727272727273,10.0,10.0,0.0,10.181818181818182,0,2,0,,2.6375996180648573,,,18.6295,,54.195624483881716,178.1022462179112,0.42857142857142855,8.828022071110707,-8.184289586507248
2025,Catalunya,1,Permanent,McLaren,84.53603076923078,89.8302706302152,332.0,44.0,2.0,2.0,0.0,16.25,6,2,0,-2.7676782239690163,-0.1251150793650811,,-23.4295,-15.288500000000006,,52.68209891227806,181.39992544769413,0.6692307692307692,2.1368049092111594,5.294239860984419
2025,Melbourne,1,Street,McLaren,107.45669642857142,117.86623106060605,332.0,33.916666666666664,2.0,1.0,1.0,9.333333333333334,0,0,2,,,-3.18649696969696,,,24.72,51.72871957950401,179.50137272864345,0.9017857142857143,1.6370715811965812,10.409534632034635
2025,Catalunya,1,Permanent,Mercedes,83.45870085470085,87.41539971509971,332.0,23.428571428571427,2.0,7.0,-5.0,16.714285714285715,5,2,0,-2.461709373083058,-0.12056950042294734,,-10.820399999999996,-14.046,,52.842890776640495,177.96364669511297,0.5726495726495726,6.714977368746543,3.956698860398859
2025,Melbourne,1,Street,Mercedes,107.18060714285714,95.7640418118467,332.0,27.166666666666668,2.0,6.0,-4.0,9.333333333333334,0,0,2,,,-3.4172303030303017,,,-27.0315,53.145097427884046,178.80726402415468,0.6607142857142857,2.5866479742479744,-11.416565331010446
2025,Catalunya,1,Permanent,RB,84.75338461538463,86.71332429681429,326.0,0.0,6.0,10.0,-4.0,18.571428571428573,5,2,0,-0.44489025037017305,-0.1264394181297628,,-5.7978000000000005,-15.085000000000008,,52.977930078281695,181.36598270394916,0.49230769230769234,7.1722174262679905,1.9599396814296597
2025,Melbourne,1,Street,RB,107.59880357142856,102.03671832358674,327.0,29.333333333333332,6.0,4.0,2.0,9.333333333333334,0,1,0,,-1.4935626373626396,,,6.501000000000005,,55.94145670821332,178.11134311270968,0.5357142857142857,4.408447947454843,-5.5620852478418215
2025,Catalunya,1,Permanent,Red Bull,84.75452307692308,93.62297432249322,327.0,37.4,5.0,4.0,1.0,13.0,7,2,1,-0.650879637942771,0.12755053073860775,-7.372563636363638,-11.963428571428569,-4.592999999999996,-67.045,55.840585327409634,182.88672280411893,0.6538461538461539,2.788333537157287,8.868451245570142
2025,Melbourne,1,Street,Red Bull,106.82635643564356,100.11547484962406,326.0,21.454545454545453,7.0,9.0,-2.0,9.181818181818182,0,2,0,,-4.701510739260738,,,-18.360000000000007,,52.83830516067947,179.38904992727532,0.6039603960396039,2.4129567281203643,-6.710881586019497
2025,Catalunya,1,Permanent,Sauber,84.73948461538463,86.24498264376788,316.0,27.5,8.0,5.0,3.0,18.571428571428573,5,2,0,-0.8403213506359449,-0.08243236572024175,,-9.544000000000002,-15.205499999999994,,54.22766408495179,180.75765477644447,0.5538461538461539,4.858015078455624,1.5054980283832577
